GEO_ID,id,NAME,S1301_C01_002E,S1301_C02_002E,
0500000US12001,12001,"Alachua County, Florida",12360,0,0
0500000US12003,12003,"Baker County, Florida",753,0,0
0500000US12005,12005,"Bay County, Florida",4752,0,0
0500000US12007,12007,"Bradford County, Florida",605,19,0.031404959
0500000US12009,12009,"Brevard County, Florida",15493,237,0.015297231
0500000US12011,12011,"Broward County, Florida",55053,408,0.00741104
0500000US12013,12013,"Calhoun County, Florida",387,8,0.020671835
0500000US12015,12015,"Charlotte County, Florida",3377,15,0.004441812
0500000US12017,12017,"Citrus County, Florida",2932,0,0
0500000US12019,12019,"Clay County, Florida",7165,44,0.006140963
0500000US12021,12021,"Collier County, Florida",8783,77,0.008766936
0500000US12023,12023,"Columbia County, Florida",1720,12,0.006976744
0500000US12027,12027,"DeSoto County, Florida",916,18,0.019650655
0500000US12029,12029,"Dixie County, Florida",271,0,0
0500000US12031,12031,"Duval County, Florida",27815,462,0.016609743
0500000US12033,12033,"Escambia County, Florida",9917,140,0.014117173
0500000US12035,12035,"Flagler County, Florida",2643,24,0.00908059
0500000US12037,12037,"Franklin County, Florida",200,0,0
0500000US12039,12039,"Gadsden County, Florida",1285,14,0.010894942
0500000US12041,12041,"Gilchrist County, Florida",431,0,0
0500000US12043,12043,"Glades County, Florida",226,0,0
0500000US12045,12045,"Gulf County, Florida",376,22,0.058510638
0500000US12047,12047,"Hamilton County, Florida",306,0,0
0500000US12049,12049,"Hardee County, Florida",782,4,0.00511509
0500000US12051,12051,"Hendry County, Florida",1275,15,0.011764706
0500000US12053,12053,"Hernando County, Florida",4956,53,0.010694108
0500000US12055,12055,"Highlands County, Florida",2345,0,0
0500000US12057,12057,"Hillsborough County, Florida",44437,263,0.005918491
0500000US12059,12059,"Holmes County, Florida",435,12,0.027586207
0500000US12061,12061,"Indian River County, Florida",3342,0,0
0500000US12063,12063,"Jackson County, Florida",1258,0,0
0500000US12065,12065,"Jefferson County, Florida",274,0,0
0500000US12067,12067,"Lafayette County, Florida",277,0,0
0500000US12069,12069,"Lake County, Florida",9665,2,0.000206932
0500000US12071,12071,"Lee County, Florida",18879,87,0.004608295
0500000US12073,12073,"Leon County, Florida",14519,103,0.007094152
0500000US12075,12075,"Levy County, Florida",1226,0,0
0500000US12077,12077,"Liberty County, Florida",485,0,0
0500000US12079,12079,"Madison County, Florida",386,0,0
0500000US12081,12081,"Manatee County, Florida",9316,50,0.00536711
0500000US12083,12083,"Marion County, Florida",9233,117,0.012671938
0500000US12085,12085,"Martin County, Florida",3535,0,0
0500000US12086,12086,"Miami-Dade County, Florida",76884,668,0.008688414
0500000US12087,12087,"Monroe County, Florida",1601,48,0.029981262
0500000US12089,12089,"Nassau County, Florida",2095,3,0.001431981
0500000US12091,12091,"Okaloosa County, Florida",5363,64,0.011933619
0500000US12093,12093,"Okeechobee County, Florida",970,15,0.015463918
0500000US12095,12095,"Orange County, Florida",46628,366,0.007849361
0500000US12097,12097,"Osceola County, Florida",13205,68,0.005149565
0500000US12099,12099,"Palm Beach County, Florida",40199,376,0.009353467
0500000US12101,12101,"Pasco County, Florida",15309,144,0.009406232
0500000US12103,12103,"Pinellas County, Florida",21552,163,0.007563103
0500000US12105,12105,"Polk County, Florida",22042,193,0.008756011
0500000US12107,12107,"Putnam County, Florida",1963,0,0
0500000US12109,12109,"St. Johns County, Florida",8152,0,0
0500000US12111,12111,"St. Lucie County, Florida",8623,125,0.014496115
0500000US12113,12113,"Santa Rosa County, Florida",5164,111,0.021494965
0500000US12115,12115,"Sarasota County, Florida",9174,43,0.004687159
0500000US12117,12117,"Seminole County, Florida",13827,13,0.000940189
0500000US12119,12119,"Sumter County, Florida",1270,0,0
0500000US12121,12121,"Suwannee County, Florida",1370,0,0
0500000US12123,12123,"Taylor County, Florida",617,0,0
0500000US12125,12125,"Union County, Florida",483,0,0
0500000US12127,12127,"Volusia County, Florida",14187,171,0.012053288
0500000US12129,12129,"Wakulla County, Florida",1012,0,0
0500000US12131,12131,"Walton County, Florida",1694,0,0
0500000US12133,12133,"Washington County, Florida",585,0,0
