FEATURE_ID,FEATURE_NA,LATITUDE,LONGITUDE,OID_,FEATURE__1,FEATURE__2,FEATURE_CL,STATE_ALPH,STATE_NUME,COUNTY_NAM,COUNTY_NUM,PRIMARY_LA,PRIMARY_LO,PRIMARY__1,PRIMARY__2,SOURCE_LAT,SOURCE_LON,SOURCE_L_1,SOURCE_L_2,ELEVATION,MAP_NAME
      896877.000000,Sabinata Flat Arroyo,          33.020364,        -105.980268,378,896877,Sabinata Flat Arroyo,Arroyo,NM,35,Otero,35,330113N,1055849W,                 33,               -106,330148N,1055558W,33.03,-105.933,1379,Sabinata
      900046.000000,Arroyo Salitrar,          36.910846,        -106.748926,379,900046,Arroyo Salitrar,Arroyo,NM,35,Rio Arrib,39,365439N,1064456W,                 37,               -107,365522N,1064250W,36.92278,-106.714,2325,Chromo Mo
      900383.000000,Willow Draw,          33.600352,        -106.017495,380,900383,Willow Draw,Arroyo,NM,35,Lincoln,27,333601N,1060103W,                 34,               -106,333058N,1055042W,33.51619,-105.845,1506,Bull Gap
      900478.000000,Hughs Draw,          33.618963,        -105.893602,381,900478,Hughs Draw,Arroyo,NM,35,Lincoln,27,333708N,1055337W,                 34,               -106,333411N,1054911W,33.5698,-105.82,1665,Cub Mount
      900508.000000,Sacate Draw,          33.965347,        -105.947492,382,900508,Sacate Draw,Arroyo,NM,35,Socorro,53,335755N,1055651W,                 34,               -106,341110N,1054940W,34.18618,-105.828,1759,Dulce Dra
      900509.000000,Salinas Draw,          33.235080,        -106.047215,383,900509,Salinas Draw,Arroyo,NM,35,Otero,35,331406N,1060250W,                 33,               -106,331523N,1055517W,33.25647,-105.921,1390,Tularosa
      900510.000000,School Section Draw,          33.917014,        -106.114441,384,900510,School Section Draw,Arroyo,NM,35,Socorro,53,335501N,1060652W,                 34,               -106,335310N,1061227W,33.88618,-106.207,1893,Lovelace
      900511.000000,Sand Well Draw,          33.350634,        -106.124441,385,900511,Sand Well Draw,Arroyo,NM,35,Otero,35,332102N,1060728W,                 33,               -106,332216N,1055933W,33.37119,-105.992,1338,Three Riv
      900517.000000,Waterhole Draw,          33.158132,        -106.791682,386,900517,Waterhole Draw,Arroyo,NM,35,Sierra,51,330929N,1064730W,                 33,               -107,330954N,1064601W,33.165,-106.767,1771,Shannon C
      900518.000000,Willow Draw,          33.153132,        -106.799461,387,900518,Willow Draw,Arroyo,NM,35,Sierra,51,330911N,1064758W,                 33,               -107,331008N,1064630W,33.16889,-106.775,1742,Shannon C
      900521.000000,Lyons Draw,          32.857856,        -106.927793,388,900521,Lyons Draw,Arroyo,NM,35,Sierra,51,325128N,1065540W,                 33,               -107,325710N,1064039W,32.95286,-106.678,1348,Upham Hil
      900522.000000,Dry Draw,          32.790355,        -107.559751,389,900522,Dry Draw,Arroyo,NM,35,Sierra,51,324725N,1073335W,                 33,               -108,324911N,1073439W,32.81972,-107.578,1584,McClede M
      900524.000000,Guilez Draw,          33.010918,        -106.151383,390,900524,Guilez Draw,Arroyo,NM,35,Otero,35,330039N,1060905W,                 33,               -106,330220N,1060332W,33.03897,-106.059,1248,Tularosa
      900534.000000,Gilmore Draw,          32.767302,        -106.871957,391,900534,Gilmore Draw,Arroyo,NM,35,Dona Ana,13,324602N,1065219W,                 33,               -107,325347N,1063827W,32.89647,-106.641,1332,Gilmore D
      900537.000000,Harvey Draw,          33.863959,        -105.984437,392,900537,Harvey Draw,Arroyo,NM,35,Socorro,53,335150N,1055904W,                 34,               -106,335900N,1060319W,33.9834,-106.055,1677,Little Bl
      900589.000000,New Well Draw,          33.359244,        -106.119441,393,900589,New Well Draw,Arroyo,NM,35,Otero,35,332133N,1060710W,                 33,               -106,332326N,1060044W,33.39063,-106.012,1346,Three Riv
      900615.000000,South Fork Catron Wash,          35.778627,        -108.864533,394,900615,South Fork Catron Wash,Arroyo,NM,35,McKinley,31,354643N,1085152W,                 36,               -109,354541N,1085536W,35.76141,-108.927,1971,Tohatchi
      900616.000000,Owls Nest Wash,          35.776405,        -108.859811,395,900616,Owls Nest Wash,Arroyo,NM,35,McKinley,31,354635N,1085135W,                 36,               -109,354447N,1085547W,35.74641,-108.93,1965,Tohatchi
      900683.000000,North Mill Arroyo,          33.499797,        -106.125277,396,900683,North Mill Arroyo,Arroyo,NM,35,Lincoln,27,332959N,1060731W,                 33,               -106,332756N,1055429W,33.46563,-105.908,1404,Oscura
      900684.000000,Jackson Draw,          33.396188,        -106.144998,397,900684,Jackson Draw,Arroyo,NM,35,Lincoln,27,332346N,1060842W,                 33,               -106,332648N,1055937W,33.44674,-105.994,1342,Three Riv
      900688.000000,Rocky Arroyo,          33.281191,        -106.037771,398,900688,Rocky Arroyo,Arroyo,NM,35,Otero,35,331652N,1060216W,                 33,               -106,331659N,1055752W,33.28314,-105.964,1423,Three Riv
      900840.000000,Been Draw,          31.395107,        -108.659488,399,900840,Been Draw,Arroyo,NM,35,Hidalgo,23,312342N,1083934W,                 31,               -109,312150N,1084252W,31.364,-108.714,1507,San Luis
      900968.000000,Crawford Draw,          33.297023,        -106.070550,400,900968,Crawford Draw,Arroyo,NM,35,Otero,35,331749N,1060414W,                 33,               -106,331753N,1055351W,33.29814,-105.897,1379,Three Riv
      900992.000000,Carter Draw,          32.928975,        -106.085547,401,900992,Carter Draw,Arroyo,NM,35,Otero,35,325544N,1060508W,                 33,               -106,325752N,1060030W,32.96444,-106.008,1256,Malone Dr
      901004.000000,Boone Draw,          33.252580,        -106.110273,402,901004,Boone Draw,Arroyo,NM,35,Otero,35,331509N,1060637W,                 33,               -106,331850N,1055528W,33.31397,-105.924,1319,Three Riv
      901015.000000,Brushy Draw,          33.138965,        -106.817516,403,901015,Brushy Draw,Arroyo,NM,35,Sierra,51,330820N,1064903W,                 33,               -107,330916N,1064415W,33.15452,-106.738,1678,Shannon C
      901016.000000,Big Ditch Draw,          33.162020,        -106.829462,404,901016,Big Ditch Draw,Arroyo,NM,35,Sierra,51,330943N,1064946W,                 33,               -107,331016N,1064648W,33.17111,-106.78,1666,Shannon C
      901022.000000,Blackshire Draw,          32.817857,        -106.903903,405,901022,Blackshire Draw,Arroyo,NM,35,Sierra,51,324904N,1065414W,                 33,               -107,325758N,1064039W,32.96619,-106.678,1338,Upham Hil
      901029.000000,San Pedro Arroyo,          33.919233,        -106.837246,406,901029,San Pedro Arroyo,Arroyo,NM,35,Socorro,53,335509N,1065014W,                 34,               -107,335306N,1064202W,33.88507,-106.701,1394,San Anton
      901037.000000,Rocky Arroyo,          33.251747,        -106.110273,407,901037,Rocky Arroyo,Arroyo,NM,35,Otero,35,331506N,1060637W,                 33,               -106,331659N,1055752W,33.28314,-105.964,1318,Three Riv
      901045.000000,Laborcita Arroyo,          32.997308,        -105.998046,408,901045,Laborcita Arroyo,Arroyo,NM,35,Otero,35,325950N,1055953W,                 33,               -106,330043N,1055619W,33.01203,-105.939,1354,Alamogord
      901080.000000,Tonuco Draw,          32.614805,        -106.997237,409,901080,Tonuco Draw,Arroyo,NM,35,Dona Ana,13,323653N,1065950W,                 33,               -107,323557N,1065740W,32.59917,-106.961,1225,Selden Ca
      901107.000000,Aiken Draw,          31.393718,        -108.695044,410,901107,Aiken Draw,Arroyo,NM,35,Hidalgo,23,312337N,1084142W,                 31,               -109,312422N,1084308W,31.40611,-108.719,1549,San Luis
      901206.000000,Lynch Draw,          31.397051,        -108.656710,411,901206,Lynch Draw,Arroyo,NM,35,Hidalgo,23,312349N,1083924W,                 31,               -109,312613N,1084424W,31.43694,-108.74,1508,San Luis
      901207.000000,Eicks Draw,          31.438994,        -108.709490,412,901207,Eicks Draw,Arroyo,NM,35,Hidalgo,23,312620N,1084234W,                 31,               -109,312718N,1084520W,31.4551,-108.756,1598,San Luis
      901209.000000,New Well Draw,          31.603159,        -108.264483,413,901209,New Well Draw,Arroyo,NM,35,Hidalgo,23,313611N,1081552W,                 32,               -108,313513N,1081634W,31.58694,-108.276,1339,Sheridan
      901214.000000,Muscrath Draw,          31.661769,        -108.268096,414,901214,Muscrath Draw,Arroyo,NM,35,Hidalgo,23,313942N,1081605W,                 32,               -108,314345N,1081422W,31.72927,-108.239,1296,Hatchet R
      901221.000000,Kimble Draw,          32.257314,        -107.113347,415,901221,Kimble Draw,Arroyo,NM,35,Dona Ana,13,321526N,1070648W,                 32,               -107,322104N,1070505W,32.35111,-107.085,1335,Sleeping
      901223.000000,Dulce Draw,          33.907570,        -105.919436,416,901223,Dulce Draw,Arroyo,NM,35,Socorro,53,335427N,1055510W,                 34,               -106,340222N,1060219W,34.03951,-106.039,1739,Dulce Dra
      901225.000000,Little Lynch Draw,          31.410384,        -108.700600,417,901225,Little Lynch Draw,Arroyo,NM,35,Hidalgo,23,312437N,1084202W,                 31,               -109,312551N,1084456W,31.43083,-108.749,1562,San Luis
      901227.000000,Candler Draw,          32.342034,        -107.150571,418,901227,Candler Draw,Arroyo,NM,35,Dona Ana,13,322031N,1070902W,                 32,               -107,322454N,1070732W,32.41509,-107.126,1366,Magdalena
      902256.000000,Grayback Arroyo,          32.968406,        -107.508918,420,902256,Grayback Arroyo,Arroyo,NM,35,Sierra,51,325806N,1073032W,                 33,               -108,325821N,1073404W,32.9725,-107.568,1611,Hillsboro
      902938.000000,Abo Arroyo,          34.528674,        -106.779193,421,902938,Abo Arroyo,Arroyo,NM,35,Socorro,53,343143N,1064645W,                 35,               -107,343026N,1061524W,34.50729,-106.257,1449,Veguita
      903260.000000,Aragon Wash,          33.353682,        -107.292812,422,903260,Aragon Wash,Arroyo,NM,35,Sierra,51,332113N,1071734W,                 33,               -107,332847N,1072316W,33.47979,-107.388,1524,Huerfano
      903288.000000,Arroyo de la Baranca,          35.282818,        -106.597804,423,903288,Arroyo de la Baranca,Arroyo,NM,35,Sandoval,43,351658N,1063552W,                 35,               -107,352124N,1064157W,35.3567,-106.699,1536,Bernalill
      903296.000000,Arroyo de la Vega de los Tanos,          35.458646,        -106.419193,424,903296,Arroyo de la Vega de lo,Arroyo,NM,35,Sandoval,43,352731N,1062509W,                 35,               -106,352142N,1061434W,35.36171,-106.243,1565,San Felip
      903297.000000,Arroyo de las Lomitas Negras,          35.265319,        -106.609471,425,903297,Arroyo de las Lomitas N,Arroyo,NM,35,Sandoval,43,351555N,1063634W,                 35,               -107,351837N,1064046W,35.31032,-106.679,1537,Bernalill
      903308.000000,Arroyo de los Montoyas,          35.259208,        -106.603915,426,903308,Arroyo de los Montoyas,Arroyo,NM,35,Sandoval,43,351533N,1063614W,                 35,               -107,352505N,1065041W,35.41809,-106.845,1535,Bernalill
      903312.000000,Arroyo de Chilili,          34.934774,        -106.144468,427,903312,Arroyo de Chilili,Arroyo,NM,35,Bernalill,1,345605N,1060840W,                 35,               -106,345329N,1061342W,34.89139,-106.228,1951,Chilili
      903315.000000,Arroyo de Domingo Baca,          35.178377,        -106.604748,428,903315,Arroyo de Domingo Baca,Arroyo,NM,35,Bernalill,1,351042N,1063617W,                 35,               -107,351203N,1062628W,35.20088,-106.441,1548,Alameda
      903317.000000,Arroyo de Manzano,          34.648118,        -106.059460,429,903317,Arroyo de Manzano,Arroyo,NM,35,Torrance,57,343853N,1060334W,                 35,               -106,344047N,1062509W,34.67978,-106.419,1865,Mountaina
      903318.000000,Arroyo de San Francisco,          35.410037,        -106.443915,430,903318,Arroyo de San Francisco,Arroyo,NM,35,Sandoval,43,352436N,1062638W,                 35,               -106,351857N,1062247W,35.31587,-106.38,1564,San Felip
