X,Y,ObjectId,Locationid,Permitid,Site_Name,Address1,City,Zip,County,Primarywaste_Type,Primaryoperation_Type,Permitstatus,Permitexpdate,Latitude,Longitude,Status
-8778635.897,4254918.1259,1,P0376,92J-DEMO-1991,"Holly Springs Disposal, Inc.",Old Holly Springs Apex Road (S.R. 1153),Holly Springs,27540,Wake,CD,LF,InactiveClosed,-,35.667152,-78.859828,Closed
-8552902.9015,4149831.7096,2,P0377,25F-DEMO-,Rainey Pit Demo Landfill,S.R. 1771,Havelock,28532,Craven,CD,LF,InactiveClosed,-,34.896551,-76.832034,Closed
-8776701.2756,4304480.1814,3,P0378,32E-LCID-,"Latta, Earl J.,  Inc.",East Club Blvd.,Durham,27704,Durham,LCID,LF,InactiveClosed,-,36.028039,-78.842449,Closed
-8756595.0831,4269668.8129,4,P0379,92F-DEMO-,Dorothea Dix,Western Blvd.,Raleigh,27603,Wake,CD,LF,InactiveClosed,-,35.774731,-78.661832,Closed
-8765296.7051,4232038.4624,5,P0380,92C-DEMO-,Jerry Gregory,Unknown,Unknown,Unknown,Wake,CD,LF,InactiveClosed,-,35.5,-78.74,Closed
-8754164.756,4262161.8869,6,P0382,92E-DEMO-,H.L. Montague,U.S. Hwy 70 W.,Garner,27529,Wake,CD,LF,InactiveClosed,-,35.72,-78.64,Closed
-8788673.7981,4249828.6519,7,P0383,92G-DEMO-1983,Duke Energy Progress - Shearon Harris,Unknown,New Hill,27562,Wake,CD,LF,InactiveClosed,-,35.63,-78.95,Closed
-8770833.9592,4271733.1591,8,P0384,92H-DEMO-1984,"Cary, Town of",N. Dixon Street,Cary,27513,Wake,CD,LF,InactiveClosed,-,35.789775,-78.789742,Closed
-8751123.0622,4274284.4919,9,P0385,92I-LCID-,W.E. Garrison Company,2200 N. Blvd.,Raleigh,27604,Wake,LCID,LF,InactiveClosed,-,35.808364,-78.612676,Closed
-8638123.2037,4356367.9086,10,P0386,42A-LCID-,Roanoke Valley LCID Landfill,2055 NC Highway 301,Weldon,27870,Halifax,LCID,LF,Active,9/30/2020,36.404097,-77.597581,Open
-8672940.6008,4047790.712,11,P0387,65C-LCID-,"Kelmer, Inc.",Lorranne Circle,Wilmington,28412,New Hanover,LCID,LF,InactiveClosed,-,34.141298,-77.910351,Closed
-8782627.3687,4163701.6269,12,P0388,26I-DEMO-,"Fayetteville, City of Airport",Airport Road,Fayetteville,28306,Cumberland,CD,LF,InactiveClosed,-,34.998679,-78.895684,Closed
-8931928.5131,4292950.0795,13,P0389,29A-LCID-,Hill & Sons Demo Site,Off Enterprise Road at Salvage Road,Lexington,27295,Davidson,LCID,LF,InactiveClosed,-,35.944229,-80.236879,Closed
-9208927.2511,4274797.054,14,P0390,58A-DEMO-1991,Madison County Demo Landfill,Sweetwater Branch Road,Marshall,28753,Madison,CD,LF,InactiveClosed,-,35.812098,-82.725201,Closed
-8706254.2943,4292624.0689,15,P0391,35B-DEMO-,Shoffner Industries Demo,NC Hwy 98,Bunn,27508,Franklin,CD,LF,InactiveClosed,-,35.941858,-78.209613,Closed
-9187995.2906,4229614.7978,16,P0392,11D-DEMO-,Valley Springs School Demo,Long Shoals / Overlook,Asheville,28803,Buncombe,CD,LF,InactiveClosed,-,35.482273,-82.537166,Closed
